,Title,platform,release_date,summary,meta_score,user_review
16,Rune Factory: A Fantasy Harvest Moon,DS,2007-08-14,"You awaken to find yourself in an unfamiliar village with no memory of who you are or how you arrived. Mist, a beautiful young woman comes to your aid and helps you start to build a life for yourself…on a farm. Till the land, grow crops, raise animals, catch fish and battle monsters! Battling against fierce beasts is very important for your survival, but making friends with them is essential for your farm life. Build skills and learn magic as you save your neighbors and uncover the secrets of your forgotten past...Befriend wandering monsters to help with your farm, each with their own special abilities. Upgrade your skills as you use and create hundreds of items and tools. Communicate and exchange items via Wi-Fi. Grow crops, make friends and fall in love. [Natsume]",78,8.2
17,Ratchet & Clank Future: Tools of Destruction,PlayStation 3,2007-10-23,"After saving countless planets from dreadful doom and earning intergalactic mega-celebrity status in the process, Ratchet and Clank have taken some well-deserved RandR -- again. Yet, Ratchet remains restless. An orphan of the universe, he has never known anything of his past, his family, or his Lombax origins. And no one, not even Clank, can fill that void. Unfortunately for Ratchet, someone else is equally interested in Ratchet's origins: Emperor Percival Tachyon. In his thirst for revenge, the vile tyrant of an ancient race of foul insect-like monsters called Cragmites has festered an age-old grudge and is bent on wiping the last-known Lombax off the universe. As Tachyon's forces ambush Ratchet and Clank in their home galaxy, our heroes realize they need to escape quickly to prevent its destruction. In a move of desperate irony, Ratchet and Clank steal Tachyon's imperial warship and embark upon an adventure bigger than any they've experienced- one that will not only unravel the mystery of the Lombaxes, but also test the very limits of their friendship. [SCEA]",89,8.8
18,Portal,PC,2007-10-10,"Portal is a new single player game from Valve. Set in the mysterious Aperture Science Laboratories, Portal has been called one of the most innovative new games on the horizon and offers gamers hours of unique gameplay. The game is designed to change the way players approach, manipulate, and surmise the possibilities in a given environment; similar to how Half-Life 2's Gravity Gun innovated new ways to leverage an object in any given situation. Players must solve physical puzzles and challenges by opening portals to maneuvering objects, and themselves, through space. [Valve]",90,9.2
19,NBA Live 16,Xbox One,2015-09-29,"LIVE Pro-Am is a fast-paced way to Rise Together with your friends. Pro-Am features LIVE Run and Summer Circuit, two online multiplayer modes that let you compete on iconic indoor and outdoor courts across North America. Play 5-on-5 street ball in LIVE Run. Meet NBA greats on the courts that made them famous in Summer Circuit.",60,5.6
20,NBA Live 16,PlayStation 4,2015-09-29,"LIVE Pro-Am is a fast-paced way to Rise Together with your friends. Pro-Am features LIVE Run and Summer Circuit, two online multiplayer modes that let you compete on iconic indoor and outdoor courts across North America. Play 5-on-5 street ball in LIVE Run. Meet NBA greats on the courts that made them famous in Summer Circuit.",59,6.0
21,Squad Assault: West Front,PC,2003-11-02,"In Squad Assault: West Front, you command troops in both the Allied and German Armies of the West Front of World War II in an immersive full 3-D continuous time environment. Squad Assault: West Front features detailed models for all the major armies that fought in France in 1944, including American, German, British, Canadian, and Free French. For those who prefer traditional turn-oriented play, a user defined auto-pause feature for order entry and battlefield assessment allows for a more thoughtful game. A 2D overhead map view with order entry is also available for those who prefer to see the battle from above. [Matrix Games]",68,tbd
22,Space Bust-A-Move,DS,2009-07-28,"(Also known as ""Puzzle Bobble Galaxy"") The smash-hit classic arcade game goes where no bubble has gone before in SPACE BUST-A-MOVE. Journey alongside twin brothers Bub and Bob, travelling to distant planets collecting Cosmo Bubbles in order to stop the evil Devilin from taking over the galaxy. [Square Enix]",71,tbd
23,Earth Defense Force 2017,Xbox 360,2007-03-20,"(Also known as ""Earth Defense Force X"" and ""Earth Defense Forces 3"" [JPN] ) This arcade-style third-person shooter equips players with an extensive arsenal of diverse weapons, pilotable vehicles and loyal teammates in order to defeat a wide variety of attackers ranging from gigantic ants and spiders to robots and monsters standing more than 20 stories tall. Earth Defense Force 2017 lands players on the front lines of an onslaught of extraterrestrial invaders, with non-stop swarms of hundreds of enemies on screen at once. Gamers aren’t alone. Not only do they have more than 150 weapon variations to choose from - including assault rifles, rocket launchers and flamethrowers - but they have the support of AI-controlled Earth Defense Force teammates who battle beside them throughout the game. Players can also join forces with live teammates in co-op mode and battle together. Fighting within a wholly destructible environment where bridges, skyscrapers and other structures can just as easily be destroyed by friend or foe, players can either save their world or demolish it in the process. With more than 50 missions to complete and a seemingly endless barrage of attackers, the Earth Defense Force has their work cut out for them. [D3 Publisher of America]",69,7.6
24,Brutal Legend,PlayStation 3,2009-10-13,"Brütal Legend is an epic action game from visionary developer Tim Schafer. Jack Black stars as Eddie Riggs, a legendary roadie summoned to a world of Heavy Metal where mountains are made of amplifiers, killer spiders spin guitar strings and Rock Legends roam the landscape. As Eddie, crush skulls with a battle axe, ravage the road in a super-charged Hot Rod and unleash the power of Rock to reign down fire from the sky - all to save humanity and become a Brütal Legend. [Electronic Arts]",83,7.7
25,Brutal Legend,Xbox 360,2009-10-13,"Brütal Legend is an epic action game from visionary developer Tim Schafer. Jack Black stars as Eddie Riggs, a legendary roadie summoned to a world of Heavy Metal where mountains are made of amplifiers, killer spiders spin guitar strings and Rock Legends roam the landscape. As Eddie, crush skulls with a battle axe, ravage the road in a super-charged Hot Rod and unleash the power of Rock to reign down fire from the sky - all to save humanity and become a Brütal Legend. [Electronic Arts]",82,8.0
26,Brutal Legend,PC,2013-02-26,"From the mind of Tim Schafer (Psychonauts, Grim Fandango) comes Brutal Legend, a heavy metal action game starring Jack Black (School of Rock, Tenacious D). You are heavy metal roadie Eddie Riggs, hurled back in time to the mythical Age of Metal when the world was formed and ruled by the power of Rock! Armed with a broadaxe, a guitar, and a big block V8 you set off on an epic quest to assemble an army of headbangers, hotrods, barbarians, demonic dominatrix and the undead. With the wings of a demon and the power of a Rock God, you must lead humanity in an epic war against its barbaric overlords, and carve your name forever into the Brutal Legend. In Brutal Legend, you'll roam through a massive open-world born from the hell fires of heavy metal. In this world you can rev up any vehicle, rock its weapons, and crush the enemies of metal. You'll also learn to devastate with your guitar, playing face-melting solos that actually melt the faces of your enemies, command savage armies, bang skulls in hand-to-hand combat, and rise like a bat out of hell to command blood-drenched action from above. As if that wasn't enough, you can slay your friends and foes online, then play guitar licks on their graves! Of course, Brutal Legend is only complete with the most ultimate heavy metal soundtrack ever assembled in a game.",80,7.8
27,Professor Layton and the Diabolical Box,DS,2009-08-24,"(Also known as ""Professor Layton and Pandora's Box) Professor Layton needs your help! Get your wits working with over 150 puzzles, and help unravel the mystery of the Elysian Box. [Nintendo]",84,8.5
28,Utawarerumono Zan,PlayStation 4,2019-09-10,"Unveil a lost legend in a new light with Utawarerumono: Zan! This action-packed brawler is a reimagination of the story of Haku, a man with no memories, and the great conflict that consumes the land he calls home. Venture through dynamic battlefields, unleash devastating special moves, and experience a grand tale of war and destiny.",59,3.8
29,Ibb & Obb,Switch,2020-03-05,ibb & obb is a two player cooperative game set in a puzzle filled world where gravity goes both up and down. You can only succeed by working closely together. Find a friend for some true local cooperative couch fun or match up online. Fall up and jump down through 15 levels filled with double gravity puzzles and discover 8 hidden worlds that will test your new non-Newtonian skills to the maximum.,78,6.8
30,Ibb & Obb,PlayStation 3,2013-08-06,Ibb & Obb is a two player cooperative game set in a puzzle filled world where gravity goes both up and down.,78,8.0
31,Company of Heroes,PC,2006-09-13,"A real-time strategy game set in World War II, Company of Heroes brings to life, in full cinematic detail, the greatest war mankind has ever known. Company of Heroes is built on Relic's next-generation Essence Engine and also utilizes the Havok Physics engine, delivering cinematic visual detail in a world completely driven by realistic physics. Gamers will experience the journey of the brave men of Able Company in a deep single-player campaign that begins with the invasion of Normandy through their fight across Europe, all set against the most dynamic battlefield ever seen in a game. Company of Heroes' completely destructable environment means no two battles ever play out in the same way. Advanced squad AI delivers startling new realism and responsiveness, bringing soldiers to life as they interact with the environment and execute advanced squad tactics to eliminate the opposition forces. [THQ]",93,8.7
32,Tom Clancy's Rainbow Six 3: Athena Sword,PC,2004-03-09,"Command Team RAINBOW, the world's most elite, multinational squad of counter-terrorist operatives, as they track the desperate remnants of a dangerous terrorist organization into exotic regions of the Mediterranean to prevent their agenda of international anarchy and destruction. Athena Sword boasts a host of standout features, including: All-new, eight-mission campaign in locations including Italy, Croatia, and Greece; Eight new Multiplayer levels; Five new multiplayer game modes; Three ""classic"" missions; Seven additional real-world weapons (for a whopping total of 64); Weapon sound effects from the team that worked on the blockbuster film The Matrix. [Ubi Soft]",72,7.1
33,Naruto Powerful Shippuden,3DS,2013-03-05,"NARUTO Powerful Shippuden includes a Story Mode as well as an Endless Battle Mode so players can choose to either follow a progressive storyline or just pull out the punches for a sprightly ninja showdown. The action-packed gameplay allows players to earn experience points to power up their vivacious characters and also use the touch screen to strengthen special attacks. Fans will recognize their favorite characters from the NARUTO franchise such as Kakashi, Sakura, Gaara, and many more; all can be called upon as support characters in the midst of battle. With familiar friends at their sides and ninja moves up their sleeves, players will embark on the journey of becoming a powerful Leaf ninja to knock out opponents or even become a knock-out with sexy jutsu.",71,6.0
34,STRAFE,PC,2017-05-09,"The future of video games: the fastest, bloodiest, deadliest, most adjective-abusing, action-packed first-person shooter of 1996.",64,5.3
35,Tenchu: Fatal Shadows,PlayStation 2,2005-02-15,"(Also known as ""Tenchu Kurenai"" or ""Tenchu Crimson"") Set in historical Japan, Tenchu: Fatal Shadows features two playable ninja warriors - returning heroine Ayame and newcomer Rin. This installment of the fan-favorite franchise offers a tight balance of melee combat and shadow stalking, and its levels are structured to avoid the frustrating trial-and-error patterns that are all too familiar in the stealth genre. The title is fast paced, tense, and balanced for both stealth veterans and novices, offering multiple difficulty modes. Significant visual upgrades have been made from prior installments, and a slew of new move sets are on hand to deliver more realistic ninja experience, including the ability to hide bodies and breathe underwater while sneaking. [Sega]",58,7.9
36,Gladiators of Rome,PC,2002-10-27,"You are in control of a gladiator troop in ancient Rome. You must recruit slaves, refine their character and mold them into fighting machines. Collect weaponry, chariots and armor all to enhance your gladiators' ability to move up the ranks and fight in larger coliseums for higher purses, just like ancient Rome! [Activision Value]",46,4.9
37,Major League Baseball 2K5,PlayStation 2,2005-02-28,"Major League Baseball 2K5 debuts On Command Baserunning, that includes active picture-in-picture baserunning, and new gameplay features called Maximum Sliding and Baseburner Mode. Active picture-in-picture baserunning delivers both an exciting presentation style and an intuitive method to precisely control runners. The new baserunning mechanic utilizes the right analog thumbstick to choose how baserunners slide -- head or feet first -- in conjunction with hook sliding left or right of the base. Players will be able to reach a base quicker, get up more quickly from a slide, or avoid being tagged out with the new freedom found in Maximum Sliding. Baseburner Mode allows the gamer to play any 'at-bat' through the perspective of any baserunner, delivering precision control to gamers. [2K Games]",82,7.4
38,Major League Baseball 2K5,Xbox,2005-02-23,"Major League Baseball 2K5 debuts On Command Baserunning, that includes active picture-in-picture baserunning, and new gameplay features called Maximum Sliding and Baseburner Mode. Active picture-in-picture baserunning delivers both an exciting presentation style and an intuitive method to precisely control runners. The new baserunning mechanic utilizes the right analog thumbstick to choose how baserunners slide -- head or feet first -- in conjunction with hook sliding left or right of the base. Players will be able to reach a base quicker, get up more quickly from a slide, or avoid being tagged out with the new freedom found in Maximum Sliding. Baseburner Mode allows the gamer to play any 'at-bat' through the perspective of any baserunner, delivering precision control to gamers.",81,8.2
39,The King of Fighters Collection: The Orochi Saga,Wii,2008-12-02,"The first ever collection of THE KING OF FIGHTERS, consisting of 5 complete games. KOF 94, 95, 96, 97, 98. [SNK Playmore]",70,7.2
40,The King of Fighters Collection: The Orochi Saga,PlayStation 2,2008-10-28,"The first ever collection of THE KING OF FIGHTERS, consisting of 5 complete games. KOF 94, 95, 96, 97, 98. [SNK Playmore]",67,7.9
41,The King of Fighters Collection: The Orochi Saga,PSP,2008-10-28,"The first ever collection of THE KING OF FIGHTERS, consisting of 5 complete games. KOF 94, 95, 96, 97, 98. [SNK Playmore]",61,7.0
42,Dungeons & Dragons: Chronicles of Mystara,PlayStation 3,2013-06-18,"As the first modern role playing game, the Dungeons & Dragons franchise from Wizards of the Coast gave birth to numerous products including two arcade titles from Capcom, Dungeons & Dragons: Tower of Doom and its sequel Dungeons & Dragons: Shadow over Mystara. Both these titles are now being re-released with updated HD graphics and a wealth of other enhancements as a definitive double pack entitled Dungeons & Dragons: Chronicles of Mystara.",83,6.8
43,Dungeons & Dragons: Chronicles of Mystara,PC,2013-06-18,"As the first modern role playing game, the Dungeons & Dragons franchise from Wizards of the Coast gave birth to numerous products including two arcade titles from Capcom, Dungeons & Dragons: Tower of Doom and its sequel Dungeons & Dragons: Shadow over Mystara. Both these titles are now being re-released with updated HD graphics and a wealth of other enhancements as a definitive double pack entitled Dungeons & Dragons: Chronicles of Mystara.",80,6.9
44,Dungeons & Dragons: Chronicles of Mystara,Xbox 360,2013-06-19,"As the first modern role playing game, the Dungeons & Dragons franchise from Wizards of the Coast gave birth to numerous products including two arcade titles from Capcom, Dungeons & Dragons: Tower of Doom and its sequel Dungeons & Dragons: Shadow over Mystara. Both these titles are now being re-released with updated HD graphics and a wealth of other enhancements as a definitive double pack entitled Dungeons & Dragons: Chronicles of Mystara.",77,5.9
45,Dungeons & Dragons: Chronicles of Mystara,Wii U,2013-09-05,"As the first modern role playing game, the Dungeons & Dragons franchise from Wizards of the Coast gave birth to numerous products including two arcade titles from Capcom, Dungeons & Dragons: Tower of Doom and its sequel Dungeons & Dragons: Shadow over Mystara. Both these titles are now being re-released with updated HD graphics and a wealth of other enhancements as a definitive double pack entitled Dungeons & Dragons: Chronicles of Mystara.",77,7.8
46,Operation Flashpoint: Resistance,PC,2002-07-10,"Resistance, the official expansion to Operation Flashpoint, is set years before O.F.'s Cold War reached crisis point, and delivers a campaign which forms a prequel to the original game's plot. The game casts the player as Victor Troska, an experienced ex-Special Forces soldier. Having turned his back on his military past, Troska has settled into respectable civilian life on an island just a short distance from the original game's three islands. However, his situation changes when Soviet forces invade the island group, destroying Troska's idyllic dreams. Reluctant at first to return to a conflict situation, he is forced to participate in, and then lead, the ramshackle Resistance effort, which grows up in response to the Soviet occupation. [Codemasters]",77,8.7
47,RoboBlitz,PC,2006-11-07,"RoboBlitz is a humorous, physics-driven action game full of inventive gizmos, weapons, and environments. Players take on the role of Blitz, a multi-talented robot who must activate an aging Space Cannon to save his world from a band of maladjusted space pirates. Set in seven distinct environments, RoboBlitz features 19 levels of puzzle-solving and high-intensity action. [Naked Sky Entertainment]",80,7.7
48,RoboBlitz,Xbox 360,2006-11-28,"[Xbox Live Arcade] RoboBlitz is a humorous, physics-driven action game full of inventive gizmos, weapons, and environments. Players take on the role of Blitz, a multi-talented robot who must activate an aging Space Cannon to save his world from a band of maladjusted space pirates. Set in seven distinct environments, RoboBlitz features 19 levels of puzzle-solving and high-intensity action. [Naked Sky Entertainment]",76,8.3
49,Genshin Impact,PC,2020-09-28,"Welcome to the beautiful fantasy world of Teyvat. Step into a huge open-world of adventure and mystery, where heroic quests await. As a traveller from another world, you must find your lost sibling and unravel Teyvat's many secrets. Joined by Paimon, a kind-hearted sprite guide, your mission takes you through beautiful forests, bustling towns, and treacherous dungeons. And while your journey may put you into the path of merciless foes and fiendish puzzles you can count on numerous playable allies to join your custom party of four, harnessing the power of the elements to overcome all obstacles. Key Features: Explore Teyvat however you want Fly across the open-world, swim in a massive sea, climb mountains, and stray off the beaten path. Whether you decide to follow the storyline or just enjoy the gorgeous environment, Teyvat is yours to discover. Add up to four party members Choose who fights by your side, with over 30 characters to meet and create your party witheach possessing different abilities, personalities, and combat styles. Will you pick Jean, the acting grand master of the knights? Or Lisa, a witch harnessing the raw force of lightning? Master the seven elements Control and combine Pyro, Hydro, Electro, Anemo, Dendro, Cryo, and Geo to solve challenging puzzles and unleash powerful attacks. Travel alone or hunt together Charge head-on into battles by yourself, or invite your friends to join the fight against dangerous monsters, and discover the secrets of this vast world together.",84,4.0
50,Genshin Impact,PlayStation 4,2020-09-28,"Welcome to the beautiful fantasy world of Teyvat. Step into a huge open-world of adventure and mystery, where heroic quests await. As a traveller from another world, you must find your lost sibling and unravel Teyvat's many secrets. Joined by Paimon, a kind-hearted sprite guide, your mission takes you through beautiful forests, bustling towns, and treacherous dungeons. And while your journey may put you into the path of merciless foes and fiendish puzzles you can count on numerous playable allies to join your custom party of four, harnessing the power of the elements to overcome all obstacles. Key Features: Explore Teyvat however you want Fly across the open-world, swim in a massive sea, climb mountains, and stray off the beaten path. Whether you decide to follow the storyline or just enjoy the gorgeous environment, Teyvat is yours to discover. Add up to four party members Choose who fights by your side, with over 30 characters to meet and create your party witheach possessing different abilities, personalities, and combat styles. Will you pick Jean, the acting grand master of the knights? Or Lisa, a witch harnessing the raw force of lightning? Master the seven elements Control and combine Pyro, Hydro, Electro, Anemo, Dendro, Cryo, and Geo to solve challenging puzzles and unleash powerful attacks. Travel alone or hunt together Charge head-on into battles by yourself, or invite your friends to join the fight against dangerous monsters, and discover the secrets of this vast world together.",81,4.6
51,The Weaponographist,PC,2015-04-29,"Play as Doug McGrave, famous demon hunter for hire. Highest level, bestest gear, ruggedly handsome, and unrepentant jerk. For refusing to aid one stinking demon-infested town, you are immediately and deservedly cursed. Your powers, your wealth, and your weapons Poof! Gone.",58,6.9
52,Warcraft III: Reforged,PC,2020-01-28,"A Classic Favorite, Reforged. Warcraft III: Reforged is a reimagining of the real-time strategy game that laid the foundation for Azeroth's most epic stories. It is a remake featuring a thorough visual overhaul, a suite of contemporary social and matchmaking features, and more. Command the Night Elves, Undead, Orcs, and Humans as alliances shift and armies clash in this timeless real-time strategy game. AZEROTH, BORN ANEW! Experience an Epic Story The founding of Orgrimmar. The fall of Lordaeron. The reign of the Burning Legion. The rise of the Lich King. Veterans and newcomers alike will experience these pivotal events in Azeroth's history like never before. The Battlefield Awaits Play through the points of view of four distinct factions: the mighty Orcs, the noble Humans, the ancient Night Elves, and the insidious Undead. Gather resources, build your base, and assemble an army. Recruit powerful heroes to lead your forces, and meet your foes in battle. Destroy the enemy base to win the game! Vast Campaigns Relive the events of Warcraft III: Reign of Chaos and The Frozen Throne. Enjoy an epic saga retold with over four hours of reshot cutscenes and updated voice-overs that breathe new life into the earliest renditions of Azeroth's key characters, across more than 60 single-player missions that span Kalimdor, Northrend, Lordaeron, and beyond. Reimagined Visuals Every character, structure, and environment has been recreated to emphasis the depth, dimension, and personality of this rough-hewn fantasy world. Behold Warcraft III's classic units in glorious 4K, with updated animations that bring them to life like you've never seen. World Editor & Custom Maps Return to the game that started it all. Discover a vast universe of player-created games, including tower defense, MOBAs, RPGs, survival games, and moreor build your own with the upgraded World Editor. Multiplayer Matchmaking Challenge opponents with modern multiplayer matchmaking, search for custom game lobbies, and connect with friends through the Blizzard Battle.net app. With updated UI and countless quality-of-life improvements, its never been easier to get into Warcraft III.",59,0.6
53,Kung-Fu Live,PlayStation 3,2010-12-07,"Kung-Fu LIVE is an interactive experience unlike anything seen before. With accurate tracking and background removal, the player’s real-life image is transported inside the game. Boosted with super-human abilities, the player literally becomes the hero of the game.",50,6.5
54,One Piece: Unlimited World Red,PlayStation 3,2014-07-08,"Set sail on a gripping adventure in the New World with the beloved Straw Hat Crew in ONE PIECE Unlimited World Red. Dive into a wayfaring journey with fun-filled escapades, action-packed battles and powerful comrades in a whole new never-before- seen scenario. Play as members of the Straw Hat crew and progress through the episodic storyline with encounters against famous bosses like Rob Lucci, Caesar Clown, and more. Master a large variation of flashy combos and test your reflexes by pressing the right button at the right time to counter, dodge or otherwise interact with enemies. Enjoy endless playability by exploring the central town and taking on quests to assist the townfolk and gain more rewards and items.",71,7.1
55,One Piece: Unlimited World Red,Wii U,2014-07-08,"Set sail on a gripping adventure in the New World with the beloved Straw Hat Crew in ONE PIECE Unlimited World Red. Dive into a wayfaring journey with fun-filled escapades, action-packed battles and powerful comrades in a whole new never-before- seen scenario. Play as members of the Straw Hat crew and progress through the episodic storyline with encounters against famous bosses like Rob Lucci, Caesar Clown, and more. Master a large variation of flashy combos and test your reflexes by pressing the right button at the right time to counter, dodge or otherwise interact with enemies. Enjoy endless playability by exploring the central town and taking on quests to assist the townfolk and gain more rewards and items.",66,7.9
56,Rad Rodgers: Radical Edition,Switch,2019-02-26,2 Player Couch Co-op - Play together with a friend! Enemies can prepare themselves for tough battles. Battle Mode - Tired of team play? Fight against your friends and show them who's boss.,62,4.5
57,Bratz: Rock Angelz,PlayStation 2,2005-10-06,"Bratz Rock Angelz empowers fans of the popular line of fashion dolls to explore their own ""passion for fashion"" in a unique interactive adventure game. Fans will be immersed in the Bratz World as they embark on a series of voyages in search of intriguing stories to inspire and create their very own fashion magazine. Play as any of the four Bratz Girls while exploring different adventures. Customize all of the Bratz girls hair, make-up, and outfits as you shop for the latest fashions. Travel to exotic International locations to investigate the hottest stories to create your own fashion magazine. Chat face-to-face with the Bratz characters in their own world. [Nintendo]",60,6.3
58,Heroes of Might & Magic III - HD Edition,PC,2015-01-29,"Fifteen years later, rediscover the epic tale of Queen Catherine Ironfist, as she begins her critically acclaimed quest to unite her ravaged homeland and re-conquer the kingdom of Erathia.",65,4.7
59,60 Parsecs!,PC,2018-09-18,"60 Parsecs! is an Atomic Space Age adventure of scavenge and survival. Keep your crew alive and ready for action. Make difficult choices, face soup shortages and other horrors of outer space. And maybe reach your destination. Or not.",68,6.9
