,Title,platform,release_date,summary,meta_score,user_review,Wikipedia,Genre,Modes
10,Omen of Sorrow,PlayStation 4,2018-11-06,"Clear your mind, clench your fists and get ready for a wicked battle. Powered by Unreal Engine 4, Omen of Sorrow delivers a deep 2D battle system inspired by the classics, bringing back the edge, mindset and philosophy rooted in the genre’s arcade legacy, taking it to the next level with innovative features and fighting mechanics. Join the battle, conquer darkness.",64,5.0,,,[]
11,Cake Mania,3DS,2007-04-09,"Based on the hit online game from Sandlot Games, Cake Mania for the Nintendo DS translates this fast-paced culinary crisis into a Touch Screen experience. Wait for customer requests, bake their cakes, ice and decorate them, then hand them out and collect your cash. Serve up seasonal confectionary delights to a variety of customers and see if you have what it takes to save the Evans' Bakery! [Majesco]",55,6.1,"Cake Mania is a cooking time management video game developed and published by Sandlot Games in 2006. Some ports of Cake Mania have different titles; the Wii version is known as Cake Mania: In the Mix!, and the PlayStation 2 and PlayStation Portable versions are titled Cake Mania: Bakers Challenge. Cake Mania received mixed reviews from critics, with some reviewers praising the game's 'addictive' and 'simple' casual gameplay, while others criticized this as being 'repetitive' and 'shallow'.

",,"['Single-player', 'Co-op multiplayer']"
12,Star Wars Jedi Knight II: Jedi Outcast,PC,2002-03-26,"Several years have passed since Kyle Katarn avenged his father's death and saved the Valley of the Jedi from Jerec and his band of Dark Jedi. Allowing his Force powers to languish for fear of falling to the Dark side, Kyle set aside his lightsaber, vowing never to use it again. But when a new and menacing threat to the galaxy emerges, Kyle knows he must reclaim his past in order to save his future. Players assume the role of Kyle as they employ a unique mix of weapons, Force powers and your lightsaber in both single- and multiplayer modes of first-person action. [LucasArts]",89,8.7,"Star Wars Jedi Knight II: Jedi Outcast is a 2002 first- and third-person shooter video game. The Microsoft Windows and Mac versions were developed by Raven Software, and the Xbox and GameCube versions by Vicarious Visions; most versions were published by LucasArts, with only the Mac version published by Aspyr. The game is a sequel to 1997's Star Wars Jedi Knight: Dark Forces II, and the third main installment in the Star Wars: Jedi Knight series. The single-player campaign, set in the fictional Star Wars expanded universe two years after the Mysteries of the Sith expansion for Dark Forces II, follows returning protagonist Kyle Katarn, a mercenary working for the New Republic and former Jedi who cut his connection to the Force. Katarn must return to his Jedi ways to stop a branch of the Imperial Remnant led by the Dark Jedi Desann from empowering their army with the Force.
Jedi Outcast was developed using a more powerful game engine, id Tech 3. The hack and slash combat introduced in Dark Forces II was heavily reworked, becoming the main focus of the gameplay instead of the shooter elements, which are prominent only during the first few missions of the game. Players may wield blasters, lightsabers, and Force powers to engage enemies, with the latter being recommended in later stages of the game, as numerous lightsaber-wielding enemies are introduced. Jedi Outcast also features a multiplayer mode that allows players to compete in several different game modes online or over a local area network.
Upon release, the game received largely positive reviews from critics, with its story and lightsaber combat being the main praised elements. A sequel and the final installment in the Jedi Knight series, Star Wars Jedi Knight: Jedi Academy, was released in 2003. In September 2009, the game was re-released onto Steam and Direct2Drive alongside the rest of the Jedi Knight series. A Nintendo Switch and PlayStation 4 port with no multiplayer mode was released in September 2019. In 2021, Jedi Outcast was made backwards compatible on Xbox One and Xbox Series X/S.",First-person shooter,"['Single-player', 'multiplayer']"
13,Star Wars Jedi Knight II: Jedi Outcast,Xbox,2002-11-20,"In the tradition of Jedi Knight, rebel agent Kyle Katarn returns in thrilling first-person action. Several years have passed since Kyle avenged his father's death and saved the Valley of the Jedi from Jerec and his band of Dark Jedi. When a new and menacing threat to the galaxy emerges, Kyle knows he must reclaim his past in order to save his future. You assume the role of Kyle and employ a unique mix of weapons, Force powers, and your lightsaber in both solo and multiplayer modes.",81,6.1,"Star Wars Jedi Knight II: Jedi Outcast is a 2002 first- and third-person shooter video game. The Microsoft Windows and Mac versions were developed by Raven Software, and the Xbox and GameCube versions by Vicarious Visions; most versions were published by LucasArts, with only the Mac version published by Aspyr. The game is a sequel to 1997's Star Wars Jedi Knight: Dark Forces II, and the third main installment in the Star Wars: Jedi Knight series. The single-player campaign, set in the fictional Star Wars expanded universe two years after the Mysteries of the Sith expansion for Dark Forces II, follows returning protagonist Kyle Katarn, a mercenary working for the New Republic and former Jedi who cut his connection to the Force. Katarn must return to his Jedi ways to stop a branch of the Imperial Remnant led by the Dark Jedi Desann from empowering their army with the Force.
Jedi Outcast was developed using a more powerful game engine, id Tech 3. The hack and slash combat introduced in Dark Forces II was heavily reworked, becoming the main focus of the gameplay instead of the shooter elements, which are prominent only during the first few missions of the game. Players may wield blasters, lightsabers, and Force powers to engage enemies, with the latter being recommended in later stages of the game, as numerous lightsaber-wielding enemies are introduced. Jedi Outcast also features a multiplayer mode that allows players to compete in several different game modes online or over a local area network.
Upon release, the game received largely positive reviews from critics, with its story and lightsaber combat being the main praised elements. A sequel and the final installment in the Jedi Knight series, Star Wars Jedi Knight: Jedi Academy, was released in 2003. In September 2009, the game was re-released onto Steam and Direct2Drive alongside the rest of the Jedi Knight series. A Nintendo Switch and PlayStation 4 port with no multiplayer mode was released in September 2019. In 2021, Jedi Outcast was made backwards compatible on Xbox One and Xbox Series X/S.",First-person shooter,"['Single-player', 'multiplayer']"
14,Star Wars Jedi Knight II: Jedi Outcast,GameCube,2002-11-20,"In the tradition of Jedi Knight, rebel agent Kyle Katarn returns in thrilling first-person action. Several years have passed since Kyle avenged his father's death and saved the Valley of the Jedi from Jerec and his band of Dark Jedi. When a new and menacing threat to the galaxy emerges, Kyle knows he must reclaim his past in order to save his future. You assume the role of Kyle and employ a unique mix of weapons, Force powers, and your lightsaber in both solo and multiplayer modes.",75,8.2,"Star Wars Jedi Knight II: Jedi Outcast is a 2002 first- and third-person shooter video game. The Microsoft Windows and Mac versions were developed by Raven Software, and the Xbox and GameCube versions by Vicarious Visions; most versions were published by LucasArts, with only the Mac version published by Aspyr. The game is a sequel to 1997's Star Wars Jedi Knight: Dark Forces II, and the third main installment in the Star Wars: Jedi Knight series. The single-player campaign, set in the fictional Star Wars expanded universe two years after the Mysteries of the Sith expansion for Dark Forces II, follows returning protagonist Kyle Katarn, a mercenary working for the New Republic and former Jedi who cut his connection to the Force. Katarn must return to his Jedi ways to stop a branch of the Imperial Remnant led by the Dark Jedi Desann from empowering their army with the Force.
Jedi Outcast was developed using a more powerful game engine, id Tech 3. The hack and slash combat introduced in Dark Forces II was heavily reworked, becoming the main focus of the gameplay instead of the shooter elements, which are prominent only during the first few missions of the game. Players may wield blasters, lightsabers, and Force powers to engage enemies, with the latter being recommended in later stages of the game, as numerous lightsaber-wielding enemies are introduced. Jedi Outcast also features a multiplayer mode that allows players to compete in several different game modes online or over a local area network.
Upon release, the game received largely positive reviews from critics, with its story and lightsaber combat being the main praised elements. A sequel and the final installment in the Jedi Knight series, Star Wars Jedi Knight: Jedi Academy, was released in 2003. In September 2009, the game was re-released onto Steam and Direct2Drive alongside the rest of the Jedi Knight series. A Nintendo Switch and PlayStation 4 port with no multiplayer mode was released in September 2019. In 2021, Jedi Outcast was made backwards compatible on Xbox One and Xbox Series X/S.",First-person shooter,"['Single-player', 'multiplayer']"
15,Star Wars Jedi Knight II: Jedi Outcast,Switch,2019-09-24,"In the tradition of Jedi Knight, rebel agent Kyle Katarn returns in thrilling first-person action. Several years have passed since Kyle avenged his father's death and saved the Valley of the Jedi from Jerec and his band of Dark Jedi. When a new and menacing threat to the galaxy emerges, Kyle knows he must reclaim his past in order to save his future. You assume the role of Kyle and employ a unique mix of weapons, Force powers, and your lightsaber in both solo and multiplayer modes.",64,5.7,"Star Wars Jedi Knight II: Jedi Outcast is a 2002 first- and third-person shooter video game. The Microsoft Windows and Mac versions were developed by Raven Software, and the Xbox and GameCube versions by Vicarious Visions; most versions were published by LucasArts, with only the Mac version published by Aspyr. The game is a sequel to 1997's Star Wars Jedi Knight: Dark Forces II, and the third main installment in the Star Wars: Jedi Knight series. The single-player campaign, set in the fictional Star Wars expanded universe two years after the Mysteries of the Sith expansion for Dark Forces II, follows returning protagonist Kyle Katarn, a mercenary working for the New Republic and former Jedi who cut his connection to the Force. Katarn must return to his Jedi ways to stop a branch of the Imperial Remnant led by the Dark Jedi Desann from empowering their army with the Force.
Jedi Outcast was developed using a more powerful game engine, id Tech 3. The hack and slash combat introduced in Dark Forces II was heavily reworked, becoming the main focus of the gameplay instead of the shooter elements, which are prominent only during the first few missions of the game. Players may wield blasters, lightsabers, and Force powers to engage enemies, with the latter being recommended in later stages of the game, as numerous lightsaber-wielding enemies are introduced. Jedi Outcast also features a multiplayer mode that allows players to compete in several different game modes online or over a local area network.
Upon release, the game received largely positive reviews from critics, with its story and lightsaber combat being the main praised elements. A sequel and the final installment in the Jedi Knight series, Star Wars Jedi Knight: Jedi Academy, was released in 2003. In September 2009, the game was re-released onto Steam and Direct2Drive alongside the rest of the Jedi Knight series. A Nintendo Switch and PlayStation 4 port with no multiplayer mode was released in September 2019. In 2021, Jedi Outcast was made backwards compatible on Xbox One and Xbox Series X/S.",First-person shooter,"['Single-player', 'multiplayer']"
16,Rune Factory: A Fantasy Harvest Moon,DS,2007-08-14,"You awaken to find yourself in an unfamiliar village with no memory of who you are or how you arrived. Mist, a beautiful young woman comes to your aid and helps you start to build a life for yourself…on a farm. Till the land, grow crops, raise animals, catch fish and battle monsters! Battling against fierce beasts is very important for your survival, but making friends with them is essential for your farm life. Build skills and learn magic as you save your neighbors and uncover the secrets of your forgotten past...Befriend wandering monsters to help with your farm, each with their own special abilities. Upgrade your skills as you use and create hundreds of items and tools. Communicate and exchange items via Wi-Fi. Grow crops, make friends and fall in love. [Natsume]",78,8.2,"Rune Factory: A Fantasy Harvest Moon (ルーンファクトリー -新牧場物語-, Rūn Fakutorī -Shin Bokujō Monogatari-, ""Rune Factory: A New Farm Story"") is a simulation
role-playing video game developed by Neverland and published by Marvelous Interactive Inc., Natsume Inc., and Rising Star Games for the Nintendo DS handheld video game console.
Rune Factory is a fantasy farm simulation game and a spin-off of the Harvest Moon/Story of Seasons video game series, celebrating the 10th anniversary of the franchise. It is described by Yoshifumi Hashimoto (longtime producer of the Harvest Moon/Story of Seasons series) as ""Harvest Moon where you wield a sword.""",Simulation,['Single-player']
17,Ratchet & Clank Future: Tools of Destruction,PlayStation 3,2007-10-23,"After saving countless planets from dreadful doom and earning intergalactic mega-celebrity status in the process, Ratchet and Clank have taken some well-deserved RandR -- again. Yet, Ratchet remains restless. An orphan of the universe, he has never known anything of his past, his family, or his Lombax origins. And no one, not even Clank, can fill that void. Unfortunately for Ratchet, someone else is equally interested in Ratchet's origins: Emperor Percival Tachyon. In his thirst for revenge, the vile tyrant of an ancient race of foul insect-like monsters called Cragmites has festered an age-old grudge and is bent on wiping the last-known Lombax off the universe. As Tachyon's forces ambush Ratchet and Clank in their home galaxy, our heroes realize they need to escape quickly to prevent its destruction. In a move of desperate irony, Ratchet and Clank steal Tachyon's imperial warship and embark upon an adventure bigger than any they've experienced- one that will not only unravel the mystery of the Lombaxes, but also test the very limits of their friendship. [SCEA]",89,8.8,"Ratchet & Clank Future: Tools of Destruction (known as Ratchet & Clank: Tools of Destruction in most PAL countries, or Ratchet & Clank Future) is a 2007 action-adventure platform game developed by Insomniac Games and published by Sony Computer Entertainment for the PlayStation 3. It is the fifth main installment of the Ratchet & Clank series, following spin-off Ratchet & Clank: Size Matters. The game was released on October 23, 2007 in North America and on November 9, 2007 in Europe. It is the first PlayStation 3 installment in the Ratchet & Clank franchise, as well as the first installment for the Future saga. It was also one of the first PlayStation 3 games to support DualShock 3 rumble without any accessories.
Tools of Destruction received critical acclaim upon release with praise for the game's engaging gameplay and impressive graphics, but criticism for its technical issues. The game was nominated for several awards from gaming publications and was considered a commercial success.",Platform,['Single-player']
18,Portal,PC,2007-10-10,"Portal is a new single player game from Valve. Set in the mysterious Aperture Science Laboratories, Portal has been called one of the most innovative new games on the horizon and offers gamers hours of unique gameplay. The game is designed to change the way players approach, manipulate, and surmise the possibilities in a given environment; similar to how Half-Life 2's Gravity Gun innovated new ways to leverage an object in any given situation. Players must solve physical puzzles and challenges by opening portals to maneuvering objects, and themselves, through space. [Valve]",90,9.2,"Portal often refers to:

Portal (architecture), an opening in a wall of a building, gate or fortification, or the extremities (ends) of a tunnelPortal may also refer to:",,[]
19,NBA Live 16,Xbox One,2015-09-29,"LIVE Pro-Am is a fast-paced way to Rise Together with your friends. Pro-Am features LIVE Run and Summer Circuit, two online multiplayer modes that let you compete on iconic indoor and outdoor courts across North America. Play 5-on-5 street ball in LIVE Run. Meet NBA greats on the courts that made them famous in Summer Circuit.",60,5.6,"NBA Live 16 is a basketball simulation video game developed by EA Tiburon and published by EA Sports released for the PlayStation 4, and Xbox One on September 29, 2015, in North America, simultaneously with  2K Sports' NBA 2K16, and on October 1, 2015, worldwide. The 20th installment of NBA Live, its cover athlete is Russell Westbrook of the Oklahoma City Thunder. EA did not release a new installment in the series the following year, instead resuming in 2017 with NBA Live 18. A mobile version of NBA Live 16 released in-between, beating NBA 2K to the mobile market.

",Sports,"['Single-player', 'multiplayer']"
20,NBA Live 16,PlayStation 4,2015-09-29,"LIVE Pro-Am is a fast-paced way to Rise Together with your friends. Pro-Am features LIVE Run and Summer Circuit, two online multiplayer modes that let you compete on iconic indoor and outdoor courts across North America. Play 5-on-5 street ball in LIVE Run. Meet NBA greats on the courts that made them famous in Summer Circuit.",59,6.0,"NBA Live 16 is a basketball simulation video game developed by EA Tiburon and published by EA Sports released for the PlayStation 4, and Xbox One on September 29, 2015, in North America, simultaneously with  2K Sports' NBA 2K16, and on October 1, 2015, worldwide. The 20th installment of NBA Live, its cover athlete is Russell Westbrook of the Oklahoma City Thunder. EA did not release a new installment in the series the following year, instead resuming in 2017 with NBA Live 18. A mobile version of NBA Live 16 released in-between, beating NBA 2K to the mobile market.

",Sports,"['Single-player', 'multiplayer']"
21,Squad Assault: West Front,PC,2003-11-02,"In Squad Assault: West Front, you command troops in both the Allied and German Armies of the West Front of World War II in an immersive full 3-D continuous time environment. Squad Assault: West Front features detailed models for all the major armies that fought in France in 1944, including American, German, British, Canadian, and Free French. For those who prefer traditional turn-oriented play, a user defined auto-pause feature for order entry and battlefield assessment allows for a more thoughtful game. A 2D overhead map view with order entry is also available for those who prefer to see the battle from above. [Matrix Games]",68,tbd,,,[]
22,Space Bust-A-Move,DS,2009-07-28,"(Also known as ""Puzzle Bobble Galaxy"") The smash-hit classic arcade game goes where no bubble has gone before in SPACE BUST-A-MOVE. Journey alongside twin brothers Bub and Bob, travelling to distant planets collecting Cosmo Bubbles in order to stop the evil Devilin from taking over the galaxy. [Square Enix]",71,tbd,,Puzzle,"['Single-player', 'multiplayer']"
23,Earth Defense Force 2017,Xbox 360,2007-03-20,"(Also known as ""Earth Defense Force X"" and ""Earth Defense Forces 3"" [JPN] ) This arcade-style third-person shooter equips players with an extensive arsenal of diverse weapons, pilotable vehicles and loyal teammates in order to defeat a wide variety of attackers ranging from gigantic ants and spiders to robots and monsters standing more than 20 stories tall. Earth Defense Force 2017 lands players on the front lines of an onslaught of extraterrestrial invaders, with non-stop swarms of hundreds of enemies on screen at once. Gamers aren’t alone. Not only do they have more than 150 weapon variations to choose from - including assault rifles, rocket launchers and flamethrowers - but they have the support of AI-controlled Earth Defense Force teammates who battle beside them throughout the game. Players can also join forces with live teammates in co-op mode and battle together. Fighting within a wholly destructible environment where bridges, skyscrapers and other structures can just as easily be destroyed by friend or foe, players can either save their world or demolish it in the process. With more than 50 missions to complete and a seemingly endless barrage of attackers, the Earth Defense Force has their work cut out for them. [D3 Publisher of America]",69,7.6,"Earth Defense Force 2017 is a third-person shooter developed by Sandlot, and published by D3 Publisher, for the Xbox 360. It is the follow-up to Global Defence Force, and is the first game in the Earth Defense Force series (as well as the first game based on D3's Simple series of budget games) to be released in North America. Earth Defense Force 3 was the best selling Games on Demand game in Japan for 2009. The game was released on the PlayStation Vita in Japan on 27 September 2012. It was released digital-only in North America on January 8, 2013 and in the PAL region on January 16, 2013. A port of the game was released for the Nintendo Switch in Japan on October 14, 2021.

",Third-person shooter,"['Single-player', 'multiplayer']"
24,Brutal Legend,PlayStation 3,2009-10-13,"Brütal Legend is an epic action game from visionary developer Tim Schafer. Jack Black stars as Eddie Riggs, a legendary roadie summoned to a world of Heavy Metal where mountains are made of amplifiers, killer spiders spin guitar strings and Rock Legends roam the landscape. As Eddie, crush skulls with a battle axe, ravage the road in a super-charged Hot Rod and unleash the power of Rock to reign down fire from the sky - all to save humanity and become a Brütal Legend. [Electronic Arts]",83,7.7,,Action-adventure,"['Single-player', 'multiplayer']"
25,Brutal Legend,Xbox 360,2009-10-13,"Brütal Legend is an epic action game from visionary developer Tim Schafer. Jack Black stars as Eddie Riggs, a legendary roadie summoned to a world of Heavy Metal where mountains are made of amplifiers, killer spiders spin guitar strings and Rock Legends roam the landscape. As Eddie, crush skulls with a battle axe, ravage the road in a super-charged Hot Rod and unleash the power of Rock to reign down fire from the sky - all to save humanity and become a Brütal Legend. [Electronic Arts]",82,8.0,,Action-adventure,"['Single-player', 'multiplayer']"
