,Title,platform,release_date,summary,meta_score,user_review
14,L.A. Noire: Reefer Madness,Xbox 360,2011-07-12,"Vice Narcotics receives a tip from one Freddie Calhoun, junkie, snitch and all around no-hoper. Freddie seems to be playing it straight for once, sharing information on a city-wide marijuana distribution ring. Detective Phelps and Earle will search, question and raid their way to the top of the operation, and in the process learn how the crooks could be smuggling fifty pound shipments of dope in plain sight.",66,7.8
15,Aragami 2,PC,2021-09-17,Aragami 2 is a third person stealth game where you play as an assassin with the power to control the shadows. Join the shadow clan and fight the invader armies to protect your people.,65,6.2
16,Aragami 2,PlayStation 5,2021-09-17,Aragami 2 is a third person stealth game where you play as an assassin with the power to control the shadows. Join the shadow clan and fight the invader armies to protect your people.,65,7.1
17,Super Monkey Ball,GameCube,2001-11-17,"Call your friends and warn your neighbors, it's time to have a ball! Go bananas with 90+ stages, multi-player madness, and 7 cool ways to play! Equal parts ""party"" and ""game"", Super Monkey Ball could be the most ""well-rounded"" game you've ever played!",87,8.1
18,Ageless,Switch,2020-07-28,"Assume the role of Kiara, a young woman who discovers a mystical bow armed with the ancient power to control ageing. Shoot animals and plants to age them backwards and forwards through their young, prime and old stages to progress, survive challenging levels, and master becoming ‘ageless’. Kiara’s new-found power is not without consequence; the narrative follows the journey she must make to confront her inner demons and find herself along the way.",68,tbd
19,Minecraft: Story Mode - Episode 2: Assembly Required,Xbox One,2015-10-27,"Minecraft: Story Mode is like a playable TV show based on the Minecraft game, where YOU are the star, and your choices and actions decide how the story is told. You assume the role of Jesse, and you and your friends are thrown into an adventure to save the world. While visiting EnderCon, your crew stumbles on something dreadful. Terror is unleashed, and your only hope is to track down the “Order of the Stone”, a fabled group of adventurers who slew the legendary Ender Dragon. But where are they? In a race against time, you will travel across the over-world, through the Nether, to The End, and beyond. [Telltale Games]",61,4.7
20,Minecraft: Story Mode - Episode 2: Assembly Required,PC,2015-10-27,"Minecraft: Story Mode is like a playable TV show based on the Minecraft game, where YOU are the star, and your choices and actions decide how the story is told. You assume the role of Jesse, and you and your friends are thrown into an adventure to save the world. While visiting EnderCon, your crew stumbles on something dreadful. Terror is unleashed, and your only hope is to track down the “Order of the Stone”, a fabled group of adventurers who slew the legendary Ender Dragon. But where are they? In a race against time, you will travel across the over-world, through the Nether, to The End, and beyond. [Telltale Games]",59,4.3
21,Minecraft: Story Mode - Episode 2: Assembly Required,DS,2015-10-27,"Minecraft: Story Mode is like a playable TV show based on the Minecraft game, where YOU are the star, and your choices and actions decide how the story is told. You assume the role of Jesse, and you and your friends are thrown into an adventure to save the world. While visiting EnderCon, your crew stumbles on something dreadful. Terror is unleashed, and your only hope is to track down the “Order of the Stone”, a fabled group of adventurers who slew the legendary Ender Dragon. But where are they? In a race against time, you will travel across the over-world, through the Nether, to The End, and beyond. [Telltale Games]",53,4.6
22,Awesomenauts,Xbox 360,2012-05-02,"The game features the most awesome mercenaries in the galaxy in their fight for territorial supremacy. Awesomenauts brings Russian monkeys with jetpacks, giant robots, and lots of other mighty aliens to the two-dimensional console battlefield. Combining classic platforming-action with modern online multiplayer functionality, the action-packed gameplay offers everything the 16-bit generation and modern gamers love.",77,7.7
23,Awesomenauts,PlayStation 3,2012-05-01,"The game features the most awesome mercenaries in the galaxy in their fight for territorial supremacy. Awesomenauts brings Russian monkeys with jetpacks, giant robots, and lots of other mighty aliens to the two-dimensional console battlefield. Combining classic platforming-action with modern online multiplayer functionality, the action-packed gameplay offers everything the 16-bit generation and modern gamers love.",75,7.4
24,Event[0],PC,2016-09-14,Event[0] is a sci-fi narrative exploration game where you build a relationship with a lonely spaceship computer to get home to Earth.,75,6.9
25,Sniper Ghost Warrior Contracts 2,Xbox Series X,2021-06-04,"Sniper Ghost Warrior Contracts 2 marks the most challenging entry to the acclaimed series yet, introducing extreme long-range sniping with targets over 1000m away. Featuring a dramatic single-player campaign set in modern day Middle East, experience high-pressure tactical combat, deep inside enemy territory. Take on the role of Reaper, Contract Sniper Assassin, as he embarks on a new series of contracts in a lawless region of the Middle East, located along the Lebanese and Syrian borders. Tasked with a seemingly impossible task, your mission is to topple an insidious criminal syndicate and bring them to justice.",74,7.8
26,Sniper Ghost Warrior Contracts 2,PC,2021-06-04,"Sniper Ghost Warrior players have never taken down targets from such extreme distances before. Sniper Ghost Warrior Contracts 2 introduces fans to a dramatic single-player campaign where the stakes are at their highest, deep inside enemy territory. Players take on the role of Reaper, contract sniper assassin, operating in the heart of a lawless region of the Middle East along the Lebanese and Syrian borders. Tasked with a seemingly impossible mission - to topple an insidious criminal syndicate and bring them to justice. For the first time, Sniper Ghost Warrior Contracts 2 delivers precision long-range shooting campaign with targets over 1,000 meters away. Developed by the same studio behind the highly celebrated original Contracts, Sniper Ghost Warrior Contracts 2 pushes boundaries with the most realistic and challenging experience that the studio has ever created.",73,7.4
27,Sniper Ghost Warrior Contracts 2,PlayStation 4,2021-06-04,"Sniper Ghost Warrior players have never taken down targets from such extreme distances before. Sniper Ghost Warrior Contracts 2 introduces fans to a dramatic single-player campaign where the stakes are at their highest, deep inside enemy territory. Players take on the role of Reaper, contract sniper assassin, operating in the heart of a lawless region of the Middle East along the Lebanese and Syrian borders. Tasked with a seemingly impossible mission - to topple an insidious criminal syndicate and bring them to justice. For the first time, Sniper Ghost Warrior Contracts 2 delivers precision long-range shooting campaign with targets over 1,000 meters away. Developed by the same studio behind the highly celebrated original Contracts, Sniper Ghost Warrior Contracts 2 pushes boundaries with the most realistic and challenging experience that the studio has ever created.",68,6.9
28,Street Racing Syndicate,Xbox,2004-08-31,"From fancy cars to beautiful import models, Street Racing Syndicate delivers the fast-paced world of street racing. You can race for money, pink slips, and more through the streets of LA, Philadelphia, and Miami. With each win, you'll earn cash, respect, and the affections of real-world street racing models. Use your cash to customize vehicles with licensed parts and graphic upgrades. Showcase your vehicle in online races, but be ready to drive off track if the police come.",66,8.6
29,Street Racing Syndicate,GameCube,2004-08-31,"From fancy cars to beautiful import models, Street Racing Syndicate delivers the fast-paced world of street racing. You can race for money, pink slips, and more through the streets of LA, Philadelphia, and Miami. With each win, you'll earn cash, respect, and the affections of real-world street racing models. Use your cash to customize vehicles with licensed parts and graphic upgrades. Showcase your vehicle in online races, but be ready to drive off track if the police come.",64,8.3
30,Street Racing Syndicate,PlayStation 2,2004-08-31,"SRS is the first game to deliver authentic street racing action, featuring realistic cars, genuine aftermarket parts, and true-to-life driving physics. Live a life immersed in the underground world of real street racing. Customize and tune realistic vehicles with detailed auto upgrades including dozens of licensed aftermarket parts that physically appear on cars. Progress through the Philadelphia, Miami and Los Angeles street racing scenes. Outrun and outsmart the cops in high-speed late night chases. BET BIG. Race for money, pink slips or even the girlfriends of rival street racers! Experience real high-speed illegal street racing with true racing physics and authentic damage that affect both looks and performance. Compete in both illegal and official sanctioned racing events. [3DO]",62,8.8
31,ArchLord,PC,2006-10-03,"ArchLord is the creation of NHN Games, one of the biggest Korean MMO developers and publishers. ArchLord delivers a unique competitive premise to MMO gamers: the opportunity to rise to become the game world’s supreme ruler. Every month, one player takes control of the world and with it the opportunity to wreak havoc on their cowering enemies as the player gains control of supreme global Archlord powers. The game's world, Kantra, is fantastically realised with stunning visuals, created using Renderware, and the game features incredibly atmospheric in-game audio recorded by the world famous London Symphony Orchestra. ArchLord also introduces one of the most advanced and complex PVP combat systems ever in any MMO, which utilises sprawling free battle areas and special guild battlefields that enables players to battle in fearsome guild versus guild battles. With an ever-evolving storyline of conquest and betrayal, ArchLord presents an epic adventure in which players band together as they quest for the ancient relics of the Archons. Each relic bestows incredible power on those who possess it and when relics are combined they deliver ultimate mastery over the fundamental forces of creation for there can only be one Archlord! [Codemasters]",42,5.7
32,FIFA 06: Road to FIFA World Cup,Xbox 360,2005-11-16,"FIFA Soccer 06 brings the total football experience to your fingertips. It delivers a combination of attacking gameplay, complete customization, pure authenticity and the deepest manager mode ever. Intuitive gameplay enables you to command every move of your player with pinpoint accuracy. Passing, shooting and tackling is now more responsive than ever and enables you to trap, shield and dribble like a world-class football player. Experience 90 minutes of heart pumping football, feel the Team Chemistry of your side and the sense of momentum shift as you battle for supremacy on the pitch. As the Midfield General you'll control the overarching strategy of the game, dictating the pace and performance of your players as you execute strategic decisions on the fly using the tactical play button configurations. [EA Sports]",62,6.1
33,Life is Strange: Before the Storm - Episode 2: Brave New World,PlayStation 4,2017-10-19,,79,7.8
34,Rooms: The Main Building,Wii,2010-03-23,"Your adventure begins when an invitation abruptly arrives at your doorstep and diverts you to an entrance of a world filled with mystic beauty. Getting there is the easy part, coming home will be the adventure. In this new world, you’ll need to reach the exit of each of the 100+ rooms by sliding pieces of the rooms along a 2-D plane, forcing you to use all of your ingenuity to escape. Your character can move from room to room as long as there’s a path that isn’t blocked by a wall or obstacle. As you continue the adventure, you’ll encounter several tools that will introduce new elements. Use teleporters, wardrobes, hydrants, and other objects to navigate your way through. Blending the simple gameplay elements of classic brain-teasers with a mystical adventure and an art style all its own, Rooms: The Main Building delivers a mystery filled adventure that will leave you stunned. [Hudson Entertainment]",60,tbd
35,Rooms: The Main Building,3DS,2010-03-23,"Your adventure begins when an invitation abruptly arrives at your doorstep and diverts you to an entrance of a world filled with mystic beauty. Getting there is the easy part, coming home will be the adventure. In this new world, you’ll need to reach the exit of each of the 100+ rooms by sliding pieces of the rooms along a 2-D plane, forcing you to use all of your ingenuity to escape. Your character can move from room to room as long as there’s a path that isn’t blocked by a wall or obstacle. As you continue the adventure, you’ll encounter several tools that will introduce new elements. Use teleporters, wardrobes, hydrants, and other objects to navigate your way through. Blending the simple gameplay elements of classic brain-teasers with a mystical adventure and an art style all its own, Rooms: The Main Building delivers a mystery filled adventure that will leave you stunned. [Hudson Entertainment]",56,tbd
36,Draglade,DS,2007-12-04,"In Draglade, it's not just about how hard you hit or fast you move, it's also how well you can groove. An innovative mix of music and fighting means you will have to use your rhythm as well as your reflexes if you want to overcome your foes and show everyone that you’re a Draglade master. In the world of Draglade, Grapping has become the world's premier spectator sport. Scientists will discover how to turn atmospheric Matter into energy. Soon thereafter, a means of harnessing this energy – G-Cons – will allow for the conversion of this power into a weapon called a ""Glade"". When a Glade hits something, the Glade emits a sound. Fighters and entertainers quickly realized the potential of Grapping, as the music generated by the clashing Glades in combat provided an experience that couldn't be matched in any other sport. In this world overcome by Grapping fever, four young indie Grappers – Hibito, Guy, Kyle, and Daichi – will strive to reach the ranks of the Major Grappers. [Atlus USA]",71,7.5
37,Amnesia: Memories,PlayStation Vita,2015-08-25,"On the 1st of August, you awake as the Heroine, with previous memories of who you are somehow snatched away from you. In your confusion, a mysterious spirit named Orion appears to help you regain your memories. Youll explore your own world as a complete stranger, trying to understand what was once familiar all while hiding your condition from the five men close to you. Because, as Orion warns, you may jeopardize any chance of recovering your memories if anyone finds out. Its now up to you recover the past to rewrite your future love story!",72,7.1
38,X: Beyond the Frontier,PC,2000-01-26,"Take a trip to the farthest reaches of space in this real-time simulation. You're the pilot of an experimental aircraft that falls into an unknown sector of the universe. Your objective is to get home alive, but that won't be any small task as tons of enemies and obstacles will try to slow your progress throughout the adventure. The game boasts more than 150 fully operational aircraft, six interactive civilizations, in excess of 10,000 objects to use, and thousands of hours of gameplay. Fighting, trading, and solving puzzles are all part of the territory in this massive gaming experience.",67,7.5
39,Frantix: A Puzzle Adventure,PSP,2005-09-19,"Frantix is one of the first character-based 3D puzzle-solving adventures for the PSP system. Frantix offers frenzied puzzle-solving action, beautiful 3D graphics, more than 150 challenging levels for players to enjoy, power pick-ups, and a diverse array of monsters and unique obstacles. The game features quick-paced action, surreal environments and challenging levels with deadly traps and dangerous hazards for a fun and captivating gameplay experience. [Sony Online Entertainment]",59,8.0
40,Battlefield Vietnam,PC,2004-03-14,"The Battlefield franchise enters a new era equipped with more firepower, modernized weaponry and vehicles, and a deeper infantry experience from the jungles to the beaches of Vietnam. From villages on the Ho Chi Minh Trail to the city streets of Hue, wage modern warfare as the United States or North Vietnamese Army (NVA). Select from a variety of characters within the different soldier classes as you command powerful new vehicles including the UH-1 Huey helicopter, the M551 Sheridan tank, and the F-4 Phantom fighter jet on the U.S. side and the Russian-made T-54 tank, the MIG-21, and Mi-8 multipurpose helicopter on the NVA side. Go to war in new dramatic battle scenarios including leading a squadron of Huey helicopters in an all-out attack on an enemy compound, executing an ambush of enemy soldiers from dense foliage, captaining a PT boat through a dangerous jungle river passage, and more. Grab your M-16, ready the Napalm and prepare to enter some of the fiercest battles of the Vietnam War. [Electronic Arts]",84,7.5
41,The Incredibles: Rise of the Underminer,GameCube,2005-11-01,"When the evil Underminer rises to the surface with a sinister plan to rule the world, it's up to Mr. Incredible and his super cool pal Frozone to save the day. While Mrs. Incredible, Violet, Dash, and Jack-Jack take care of things topside, Mr. Incredible and Frozone race underground to put a stop to the Underminer's dastardly plans and bury the diabolitical baddie once and for all! All-new action/adventure game. Play as Mr. Incredible or Frozone at anytime. Cooperative game-play with the ability to switch characters at any point in the game. Update your character's moves and abilities as you progress through the game.",67,6.8
42,The Incredibles: Rise of the Underminer,Xbox,2005-11-01,"When the evil Underminer rises to the surface with a sinister plan to rule the world, it's up to Mr. Incredible and his super cool pal Frozone to save the day. While Mrs. Incredible, Violet, Dash, and Jack-Jack take care of things topside, Mr. Incredible and Frozone race underground to put a stop to the Underminer's dastardly plans and bury the diabolitical baddie once and for all! All-new action/adventure game. Play as Mr. Incredible or Frozone at anytime. Cooperative game-play with the ability to switch characters at any point in the game. Update your character's moves and abilities as you progress through the game.",63,tbd
43,The Incredibles: Rise of the Underminer,PlayStation 2,2005-11-01,"When the evil Underminer rises to the surface with a sinister plan to rule the world, it's up to Mr. Incredible and his super cool pal Frozone to save the day. While Mrs. Incredible, Violet, Dash, and Jack-Jack take care of things topside, Mr. Incredible and Frozone race underground to put a stop to the Underminer's dastardly plans and bury the diabolitical baddie once and for all! All-new action/adventure game. Play as Mr. Incredible or Frozone at anytime. Cooperative game-play with the ability to switch characters at any point in the game. Update your character's moves and abilities as you progress through the game. [THQ]",60,7.5
44,Chrono Cross,PlayStation,2000-08-15,"Featuring a storyline developed by the creator of Chrono Trigger and Xenogears, Chrono Cross has been christened the ""Best RPG Creation"" by its development team. With multiple scenarios cast along a single story thread, and many different endings, each replay can result in an entirely new adventure. In addition, a brand new battle system makes combat smooth and innovative by introducing an element field system and combo system that gives the player unparalleled flexibility in their fighting options. The elimination of random battles also quickens the pace of the game, and places the choice of where to battle in the player's hands. With character designs by a famed Japanese illustrator and music by the original Chrono Trigger composer, Chrono Cross features visuals and sounds that bring its magic to life.",94,8.8
45,Darknet,PlayStation 4,2017-03-07,"Darknet is a strategy/puzzle game in which you play as an elite hacker contracted to retrieve data from the world’s most secure networks. Plug into the Net, install viruses, inject code, and tunnel through cyber-security in an experience inspired by the classic cyberpunk vision of the future. [Playstation.com]",78,5.4
46,DeathSpank: Thongs of Virtue,Xbox 360,2011-01-04,"Featuring the trademark humor found in the original, Thongs of Virtue centers on DeathSpank's journey through a massive war-torn land; explore the North Pole and the high seas to locate six mystical thongs to bring peace and harmony to the universe.",78,8.1
47,DeathSpank: Thongs of Virtue,PlayStation 3,2010-09-21,"Featuring the trademark humor found in the original, Thongs of Virtue centers on DeathSpank's journey through a massive war-torn land; explore the North Pole and the high seas to locate six mystical thongs to bring peace and harmony to the universe.",78,8.0
48,DeathSpank: Thongs of Virtue,PC,2010-11-30,DeathSpank: Thongs of Virtue picks up right where the original left off.,78,7.5
49,Pirates vs Ninjas Dodgeball,PlayStation 4,2008-09-03,"[Xbox Live Arcade] Pirates vs. Ninjas Dodgeball transforms the innocent childhood game of dodgeball into a vindictive, heart-thumping battle between outlandish groups of characters including ninjas, pirates, zombies, and robots! Use a red rubber ball to tag opponents out of the game, and utilize a variety of weapons, including ninja and pirate swords, to harm enemies along the way. Pirates vs. Ninjas Dodgeball features different arenas with unique gameplay challenges, from sandy beaches and snow capped forests to a spooky graveyard. [Microsoft]",44,6.6
50,Glory of Heracles,DS,2010-01-18,"The game is inspired by Greek mythology and written by Kazushige Nojima of Final Fantasy fame. The traditional role-playing game features an engrossing story and a robust battle system. Players can roam the countryside as they encounter new characters and gain experience, or they can visit familiar ancient settings like Athens and Sparta. Although the plot is fictional, many of the people and places in the game are based on familiar Greek mythology. An extensive glossary provides more details about the places and characters that heroic Heracles encounters. Players are be treated to animated cut scenes on the screens of their Nintendo DS or Nintendo DSi systems. Players can opt to use the stylus or control pad and buttons to control movement in the game, while the touch screen is required to complete optional challenges used to power up spells or skills during battle. [Nintendo]",69,7.4
51,WWE WrestleMania XIX,GameCube,2003-09-08,"The legacy continues with WrestleMania XIX, which features deeper move sets and a more strategic reversal system. Choose among an updated list of top WWE superstars, each with realistic abilities, including strength, speed, and stamina. You can become a legend by battling your way through five stages and more than 25 missions in an effort to destroy Vince's empire. Team up with Stephanie McMahon along the way as you win back your status in the WWE.",76,8.7
52,Digimon Rumble Arena 2,Xbox,2004-09-03,"Digimon Rumble Arena 2 lets you play as and against your favorite Digimon characters. The game features all the popular Digimon from all four seasons of the TV show, plus secret Digimon. Each Digimon has a signature move that can earn Digipoints and, with enough Digipoints, you can Digivolve and destroy your opponents. In locations ranging from icy glaciers to fields of fire, you can conquer the Digimon in single-player mode or compete against three of your friends in multiplayer brawls.",65,7.4
53,Digimon Rumble Arena 2,PlayStation 2,2004-09-03,Digimon Rumble Arena leaps onto next generation platforms with a flourish! Play as one of over 40 television characters in this fast and furious fighter. Battle your way through icy glaciers and across fields of fire in this digivolving contest of skills! Featuring more than 40 playable Digimon forms ? each with unique moves to master. Featuring popular Digimon from all 4 TV seasons. Single player and multi-player modes. Compete as one of up to 4 players in Multi-Player Brawls. Unlock secret Digimon. Use your signature move to get Digipoints then Digivolve and destroy your opponents. [Bandai],63,7.7
54,Beaterator,PSP,2009-09-29,"Beaterator for the PSP system is both a powerful music mixer with robust beatmaking features, as well as a collection of original music and rhythm games and challenge modes - all available in the palm of your hand. [Rockstar]",80,7.8
55,Overlord: Raising Hell,PlayStation 3,2008-06-24,"Overlord: Raising Hell, the Action RPG set in a seriously warped fantasy world, has now arrived to PlayStation 3. With plenty of black humour and dark irony, this game immerses the player in twisted parodies of classic fantasy scenarios and characters. Your word is law as you become the all powerful Overlord, a mysterious figure that has inherited the legacy of the evil after being raised from the dead. The game's key innovation is the introduction of an array of impish creatures – the Minions. Accompanied by a horde of these slavishly loyal rascals, the Overlord plays dirty tricks on anything that moves to become even more powerful. The gremlin-like critters will follow your every instruction no matter how despotic or, for the Minions, life threatening it is. The PS3 version of this game allows you to explore and conquer 5 extra supernatural realms. Defend the Overlord's tower against waves of enemy attack with seven additional online multiplayer maps, including the competitive 'Capture the Maiden' map and 'Protect Your Power'. The Challenge Pack also introduces a 'Legendary' mode, which challenges you by using your most aggressive minion managing skills to complete the single-player game under exceptional circumstances. [Codemasters]",72,7.8
56,Sable,PC,2021-09-23,"Embark on a unique and unforgettable journey and guide Sable through her Gliding; a rite of passage that will take her across vast deserts and mesmerizing landscapes, capped by the remains of spaceships and ancient wonders.",77,7.6
57,Sable,Xbox Series X,2021-09-23,"Embark on a unique and unforgettable journey and guide Sable through her Gliding; a rite of passage that will take her across vast deserts and mesmerizing landscapes, capped by the remains of spaceships and ancient wonders.",71,6.2
58,NFL GameDay 2004,PlayStation 2,2003-08-27,"The latest version of this popular NFL football franchise from the 989 Sports development team delivers exciting and authentic football action. Combining the true NFL intensity with all-new graphics and a deep Online Mode, NFL GameDay 2004 promises to kick off the season in proper football fashion for football fans of all ages. NFL GameDay 2004 looks and plays better than ever before with enhanced ""motion blending"" technology, allowing for seamless animation transitions which help capture the power and speed of the NFL. In addition, new player models were developed as each NFL player has been recreated in amazing detail to look exactly like his real life counterpart. Stadium models have also been greatly improved as new lighting and textures and interactive crowds have been applied to make the user feel truly part of the action.",65,8.7
59,R-Type Final,PlayStation 2,2004-02-03,"It all began in 1987 with a revolutionary arcade shooter called R-Type. Now the classic shooter is back for a final appearance with new features and the same exciting, revolutionary gameplay that started it all. Use the unique Force System to power-up your ship as you choose and send it into battle against the evil Bydo. With over 100 ships to choose from and an almost unlimited amount of customization options, R-Type Final is the definitive shooter on the PlayStation2. [Eidos Interactive]",79,8.5
60,Star Wars: Starfighter,PlayStation 2,2001-02-19,"One of the most eagerly anticipated PS2 titles of the year, this console space shooter features 14 missions by three starfighter pilots attempting to save Naboo and the Galaxy from the oppressive abuses of the Trade Federation.",84,8.0
61,Star Wars: Starfighter,PC,2002-01-20,"Courage. Skill. Honor. These are the three primary qualities that you must bring to Star Wars Starfighter, a flight action/adventure combining intense air and space combat in rich 3D environments. Join three starfighter pilots in a series of harrowing missions to save Naboo and the galaxy from the oppressive abuses of the Trade Federation. May the Force be with you, young starfighter pilot. [LucasArts]",71,6.6
62,Full Auto 2: Battlelines,PlayStation 3,2006-12-07,"Full Auto 2: Battlelines puts high-speed vehicles outfitted with weapons and armor into fully realized and fully destructible urban street environments. Fierce combat-racing will ensue as you strategically use destruction to win races as well as leave massive devastation in your wake. Players can destroy the environment to dynamically change track conditions to block competitors, open new paths, or crush opponents with falling debris caused by well-timed missiles. Full Auto 2: Battlelines also introduces a new Arena Mode featuring team play and six different levels, each specifically designed for a unique type of multiplayer car combat. In the new multi-path single player campaign, players battle to take control of Staunton City by conquering the six different districts and taking control of opponent cars and weapons. The game's six different carnage-filled multiplayer modes, which incorporate team play and objectives ranging from classic deathmatches to unique base assaults and gladiator-style gameplay, deliver a diverse range of competitive options. The sequel implements the fan-favorite Unwreck feature, which allows players to turn back time and take another shot at a treacherous turn, avoid a deadly obstacle, or simply avoid enemy fire. [Sega]",67,7.7
