,Title,platform,release_date,summary,meta_score,user_review,Wikipedia,Genre,Modes
10,Omen of Sorrow,PlayStation 4,2018-11-06,"Clear your mind, clench your fists and get ready for a wicked battle. Powered by Unreal Engine 4, Omen of Sorrow delivers a deep 2D battle system inspired by the classics, bringing back the edge, mindset and philosophy rooted in the genre’s arcade legacy, taking it to the next level with innovative features and fighting mechanics. Join the battle, conquer darkness.",64,5.0,"In the video game industry, 2023 is expected to see the release of many new video games.

",,[]
11,Cake Mania,3DS,2007-04-09,"Based on the hit online game from Sandlot Games, Cake Mania for the Nintendo DS translates this fast-paced culinary crisis into a Touch Screen experience. Wait for customer requests, bake their cakes, ice and decorate them, then hand them out and collect your cash. Serve up seasonal confectionary delights to a variety of customers and see if you have what it takes to save the Evans' Bakery! [Majesco]",55,6.1,"Cake Mania is a cooking time management video game developed and published by Sandlot Games in 2006. Some ports of Cake Mania have different titles; the Wii version is known as Cake Mania: In the Mix!, and the PlayStation 2 and PlayStation Portable versions are titled Cake Mania: Bakers Challenge. Cake Mania received mixed reviews from critics, with some reviewers praising the game's 'addictive' and 'simple' casual gameplay, while others criticized this as being 'repetitive' and 'shallow'.

",,"['Single-player', 'Co-op multiplayer']"
12,Star Wars Jedi Knight II: Jedi Outcast,PC,2002-03-26,"Several years have passed since Kyle Katarn avenged his father's death and saved the Valley of the Jedi from Jerec and his band of Dark Jedi. Allowing his Force powers to languish for fear of falling to the Dark side, Kyle set aside his lightsaber, vowing never to use it again. But when a new and menacing threat to the galaxy emerges, Kyle knows he must reclaim his past in order to save his future. Players assume the role of Kyle as they employ a unique mix of weapons, Force powers and your lightsaber in both single- and multiplayer modes of first-person action. [LucasArts]",89,8.7,"Star Wars Jedi Knight: Dark Forces II is a 1997 first-person shooter video game developed and published by LucasArts for Microsoft Windows. It is the sequel to 1995's Star Wars: Dark Forces, and the second installment in the Star Wars: Jedi Knight series. The story, set in the fictional Star Wars expanded universe one year after the film Return of the Jedi, follows returning protagonist Kyle Katarn, a mercenary working for the New Republic, who discovers his connection to the Force and ""The Valley of the Jedi"", an ancient source of power. With his father having been murdered years prior by the Dark Jedi Jerec and his followers over the Valley's location, Katarn embarks on a quest to confront his father's killers and find the Valley before they do.
Jedi Knight made some technical and gameplay improvements over its predecessor. It uses a more powerful game engine, the Sith engine, which supports 3D acceleration using Direct3D 5.0. The story features branching paths and cutscenes recorded with live actors as full motion videos. The game introduces the lightsaber and the Force as prominent gameplay elements in the series, as well as a multiplayer mode that allows players to compete over the internet or a local area network.
Jedi Knight received critical acclaim for its gameplay additions, narrative, and improvements over Dark Forces, and has been cited as one of the best video games of all time.  An expansion pack, Mysteries of the Sith, was released in 1998, and a sequel, Jedi Knight II: Jedi Outcast, in 2002.",First-person shooter,"['Single-player', 'multiplayer']"
13,Star Wars Jedi Knight II: Jedi Outcast,Xbox,2002-11-20,"In the tradition of Jedi Knight, rebel agent Kyle Katarn returns in thrilling first-person action. Several years have passed since Kyle avenged his father's death and saved the Valley of the Jedi from Jerec and his band of Dark Jedi. When a new and menacing threat to the galaxy emerges, Kyle knows he must reclaim his past in order to save his future. You assume the role of Kyle and employ a unique mix of weapons, Force powers, and your lightsaber in both solo and multiplayer modes.",81,6.1,"Star Wars Jedi Knight: Dark Forces II is a 1997 first-person shooter video game developed and published by LucasArts for Microsoft Windows. It is the sequel to 1995's Star Wars: Dark Forces, and the second installment in the Star Wars: Jedi Knight series. The story, set in the fictional Star Wars expanded universe one year after the film Return of the Jedi, follows returning protagonist Kyle Katarn, a mercenary working for the New Republic, who discovers his connection to the Force and ""The Valley of the Jedi"", an ancient source of power. With his father having been murdered years prior by the Dark Jedi Jerec and his followers over the Valley's location, Katarn embarks on a quest to confront his father's killers and find the Valley before they do.
Jedi Knight made some technical and gameplay improvements over its predecessor. It uses a more powerful game engine, the Sith engine, which supports 3D acceleration using Direct3D 5.0. The story features branching paths and cutscenes recorded with live actors as full motion videos. The game introduces the lightsaber and the Force as prominent gameplay elements in the series, as well as a multiplayer mode that allows players to compete over the internet or a local area network.
Jedi Knight received critical acclaim for its gameplay additions, narrative, and improvements over Dark Forces, and has been cited as one of the best video games of all time.  An expansion pack, Mysteries of the Sith, was released in 1998, and a sequel, Jedi Knight II: Jedi Outcast, in 2002.",First-person shooter,"['Single-player', 'multiplayer']"
14,Star Wars Jedi Knight II: Jedi Outcast,GameCube,2002-11-20,"In the tradition of Jedi Knight, rebel agent Kyle Katarn returns in thrilling first-person action. Several years have passed since Kyle avenged his father's death and saved the Valley of the Jedi from Jerec and his band of Dark Jedi. When a new and menacing threat to the galaxy emerges, Kyle knows he must reclaim his past in order to save his future. You assume the role of Kyle and employ a unique mix of weapons, Force powers, and your lightsaber in both solo and multiplayer modes.",75,8.2,"Star Wars Jedi Knight: Dark Forces II is a 1997 first-person shooter video game developed and published by LucasArts for Microsoft Windows. It is the sequel to 1995's Star Wars: Dark Forces, and the second installment in the Star Wars: Jedi Knight series. The story, set in the fictional Star Wars expanded universe one year after the film Return of the Jedi, follows returning protagonist Kyle Katarn, a mercenary working for the New Republic, who discovers his connection to the Force and ""The Valley of the Jedi"", an ancient source of power. With his father having been murdered years prior by the Dark Jedi Jerec and his followers over the Valley's location, Katarn embarks on a quest to confront his father's killers and find the Valley before they do.
Jedi Knight made some technical and gameplay improvements over its predecessor. It uses a more powerful game engine, the Sith engine, which supports 3D acceleration using Direct3D 5.0. The story features branching paths and cutscenes recorded with live actors as full motion videos. The game introduces the lightsaber and the Force as prominent gameplay elements in the series, as well as a multiplayer mode that allows players to compete over the internet or a local area network.
Jedi Knight received critical acclaim for its gameplay additions, narrative, and improvements over Dark Forces, and has been cited as one of the best video games of all time.  An expansion pack, Mysteries of the Sith, was released in 1998, and a sequel, Jedi Knight II: Jedi Outcast, in 2002.",First-person shooter,"['Single-player', 'multiplayer']"
15,Star Wars Jedi Knight II: Jedi Outcast,Switch,2019-09-24,"In the tradition of Jedi Knight, rebel agent Kyle Katarn returns in thrilling first-person action. Several years have passed since Kyle avenged his father's death and saved the Valley of the Jedi from Jerec and his band of Dark Jedi. When a new and menacing threat to the galaxy emerges, Kyle knows he must reclaim his past in order to save his future. You assume the role of Kyle and employ a unique mix of weapons, Force powers, and your lightsaber in both solo and multiplayer modes.",64,5.7,"Star Wars Jedi Knight: Dark Forces II is a 1997 first-person shooter video game developed and published by LucasArts for Microsoft Windows. It is the sequel to 1995's Star Wars: Dark Forces, and the second installment in the Star Wars: Jedi Knight series. The story, set in the fictional Star Wars expanded universe one year after the film Return of the Jedi, follows returning protagonist Kyle Katarn, a mercenary working for the New Republic, who discovers his connection to the Force and ""The Valley of the Jedi"", an ancient source of power. With his father having been murdered years prior by the Dark Jedi Jerec and his followers over the Valley's location, Katarn embarks on a quest to confront his father's killers and find the Valley before they do.
Jedi Knight made some technical and gameplay improvements over its predecessor. It uses a more powerful game engine, the Sith engine, which supports 3D acceleration using Direct3D 5.0. The story features branching paths and cutscenes recorded with live actors as full motion videos. The game introduces the lightsaber and the Force as prominent gameplay elements in the series, as well as a multiplayer mode that allows players to compete over the internet or a local area network.
Jedi Knight received critical acclaim for its gameplay additions, narrative, and improvements over Dark Forces, and has been cited as one of the best video games of all time.  An expansion pack, Mysteries of the Sith, was released in 1998, and a sequel, Jedi Knight II: Jedi Outcast, in 2002.",First-person shooter,"['Single-player', 'multiplayer']"
16,Rune Factory: A Fantasy Harvest Moon,DS,2007-08-14,"You awaken to find yourself in an unfamiliar village with no memory of who you are or how you arrived. Mist, a beautiful young woman comes to your aid and helps you start to build a life for yourself…on a farm. Till the land, grow crops, raise animals, catch fish and battle monsters! Battling against fierce beasts is very important for your survival, but making friends with them is essential for your farm life. Build skills and learn magic as you save your neighbors and uncover the secrets of your forgotten past...Befriend wandering monsters to help with your farm, each with their own special abilities. Upgrade your skills as you use and create hundreds of items and tools. Communicate and exchange items via Wi-Fi. Grow crops, make friends and fall in love. [Natsume]",78,8.2,"Rune Factory: A Fantasy Harvest Moon (ルーンファクトリー -新牧場物語-, Rūn Fakutorī -Shin Bokujō Monogatari-, ""Rune Factory: A New Farm Story"") is a simulation
role-playing video game developed by Neverland and published by Marvelous Interactive Inc., Natsume Inc., and Rising Star Games for the Nintendo DS handheld video game console.
Rune Factory is a fantasy farm simulation game and a spin-off of the Harvest Moon/Story of Seasons video game series, celebrating the 10th anniversary of the franchise. It is described by Yoshifumi Hashimoto (longtime producer of the Harvest Moon/Story of Seasons series) as ""Harvest Moon where you wield a sword.""",Simulation,['Single-player']
17,Ratchet & Clank Future: Tools of Destruction,PlayStation 3,2007-10-23,"After saving countless planets from dreadful doom and earning intergalactic mega-celebrity status in the process, Ratchet and Clank have taken some well-deserved RandR -- again. Yet, Ratchet remains restless. An orphan of the universe, he has never known anything of his past, his family, or his Lombax origins. And no one, not even Clank, can fill that void. Unfortunately for Ratchet, someone else is equally interested in Ratchet's origins: Emperor Percival Tachyon. In his thirst for revenge, the vile tyrant of an ancient race of foul insect-like monsters called Cragmites has festered an age-old grudge and is bent on wiping the last-known Lombax off the universe. As Tachyon's forces ambush Ratchet and Clank in their home galaxy, our heroes realize they need to escape quickly to prevent its destruction. In a move of desperate irony, Ratchet and Clank steal Tachyon's imperial warship and embark upon an adventure bigger than any they've experienced- one that will not only unravel the mystery of the Lombaxes, but also test the very limits of their friendship. [SCEA]",89,8.8,"Ratchet & Clank Future: Tools of Destruction (known as Ratchet & Clank: Tools of Destruction in most PAL countries, or Ratchet & Clank Future) is a 2007 action-adventure platform game developed by Insomniac Games and published by Sony Computer Entertainment for the PlayStation 3. It is the fifth main installment of the Ratchet & Clank series, following spin-off Ratchet & Clank: Size Matters. The game was released on October 23, 2007 in North America and on November 9, 2007 in Europe. It is the first PlayStation 3 installment in the Ratchet & Clank franchise, as well as the first installment for the Future saga. It was also one of the first PlayStation 3 games to support DualShock 3 rumble without any accessories.
Tools of Destruction received critical acclaim upon release with praise for the game's engaging gameplay and impressive graphics, but criticism for its technical issues. The game was nominated for several awards from gaming publications and was considered a commercial success.",Platform,['Single-player']
18,Portal,PC,2007-10-10,"Portal is a new single player game from Valve. Set in the mysterious Aperture Science Laboratories, Portal has been called one of the most innovative new games on the horizon and offers gamers hours of unique gameplay. The game is designed to change the way players approach, manipulate, and surmise the possibilities in a given environment; similar to how Half-Life 2's Gravity Gun innovated new ways to leverage an object in any given situation. Players must solve physical puzzles and challenges by opening portals to maneuvering objects, and themselves, through space. [Valve]",90,9.2,"Portal is a 2007 puzzle-platform game developed and published by Valve. It was released in a bundle, The Orange Box, for Windows, Xbox 360 and PlayStation 3, and has been since ported to other systems, including Mac OS X, Linux, Android (via Nvidia Shield), and Nintendo Switch.
Portal consists primarily of a series of puzzles that must be solved by teleporting the player's character and simple objects using ""the Aperture Science Handheld Portal Device"", often referred to as the ""portal gun"", a device that can create inter-spatial portals between two flat planes. The player-character, Chell, is challenged and taunted by an artificial intelligence named GLaDOS (Genetic Lifeform and Disk Operating System) to complete each puzzle in the Aperture Science Enrichment Center using the portal gun with the promise of receiving cake when all the puzzles are completed. The game's unique physics allows kinetic energy to be retained through portals, requiring creative use of portals to maneuver through the test chambers. This gameplay element is based on a similar concept from the game Narbacular Drop; many of the team members from the DigiPen Institute of Technology who worked on Narbacular Drop were hired by Valve for the creation of Portal, making it a spiritual successor to the game.
Portal was acclaimed as one of the most original games of 2007, despite some criticism for its short duration. It received praise for its originality, unique gameplay and dark story with a humorous series of dialogue. GLaDOS, voiced by Ellen McLain in the English-language version, received acclaim for her unique characterization, and the end credits song ""Still Alive"", written by Jonathan Coulton for the game, was praised for its original composition and humorous twist. Portal is often cited as one of the greatest video games ever made. Excluding Steam download sales, over four million copies of the game have been sold since its release, spawning official merchandise from Valve including plush Companion Cubes, as well as fan recreations of the cake and portal gun. 
A standalone version with extra puzzles, Portal: Still Alive, was also published by Valve on the Xbox Live Arcade service in October 2008 exclusively for Xbox 360. A sequel, Portal 2, was released in 2011, which expanded on the storyline, adding several gameplay mechanics and a cooperative multiplayer mode.",Puzzle-platform,['Single-player']
19,NBA Live 16,Xbox One,2015-09-29,"LIVE Pro-Am is a fast-paced way to Rise Together with your friends. Pro-Am features LIVE Run and Summer Circuit, two online multiplayer modes that let you compete on iconic indoor and outdoor courts across North America. Play 5-on-5 street ball in LIVE Run. Meet NBA greats on the courts that made them famous in Summer Circuit.",60,5.6,"NBA Live was a series of basketball video games published by EA Sports. The series, which debuted in 1994, is the successor to the previous NBA Playoffs and NBA Showdown series.
Beginning in the late 2000s, NBA Live sales had dropped off compared to their main competitor, 2K's NBA 2K series. The last released installment to date was 2018's NBA Live 19. As of 2023, the series has been in an indefinite hiatus, and after the cancellations of NBA Live 20 and NBA Live 21, there has not been any official confirmation by EA on whether or not the series will continue.

",,[]
20,NBA Live 16,PlayStation 4,2015-09-29,"LIVE Pro-Am is a fast-paced way to Rise Together with your friends. Pro-Am features LIVE Run and Summer Circuit, two online multiplayer modes that let you compete on iconic indoor and outdoor courts across North America. Play 5-on-5 street ball in LIVE Run. Meet NBA greats on the courts that made them famous in Summer Circuit.",59,6.0,"NBA Live was a series of basketball video games published by EA Sports. The series, which debuted in 1994, is the successor to the previous NBA Playoffs and NBA Showdown series.
Beginning in the late 2000s, NBA Live sales had dropped off compared to their main competitor, 2K's NBA 2K series. The last released installment to date was 2018's NBA Live 19. As of 2023, the series has been in an indefinite hiatus, and after the cancellations of NBA Live 20 and NBA Live 21, there has not been any official confirmation by EA on whether or not the series will continue.

",,[]
21,Squad Assault: West Front,PC,2003-11-02,"In Squad Assault: West Front, you command troops in both the Allied and German Armies of the West Front of World War II in an immersive full 3-D continuous time environment. Squad Assault: West Front features detailed models for all the major armies that fought in France in 1944, including American, German, British, Canadian, and Free French. For those who prefer traditional turn-oriented play, a user defined auto-pause feature for order entry and battlefield assessment allows for a more thoughtful game. A 2D overhead map view with order entry is also available for those who prefer to see the battle from above. [Matrix Games]",68,tbd,"Medal of Honor: Allied Assault is a 2002 first-person shooter video game developed by 2015, Inc. and published by Electronic Arts. It was released for Windows, Mac OS X, and Linux. Allied Assault is the third game in the Medal of Honor series. The game uses the id Tech 3 engine, with modifications from Heavy Metal: F.A.K.K.², to simulate infantry combat in the European and North African theaters during World War II.",First-person shooter,"['Single-player', 'multiplayer']"
22,Space Bust-A-Move,DS,2009-07-28,"(Also known as ""Puzzle Bobble Galaxy"") The smash-hit classic arcade game goes where no bubble has gone before in SPACE BUST-A-MOVE. Journey alongside twin brothers Bub and Bob, travelling to distant planets collecting Cosmo Bubbles in order to stop the evil Devilin from taking over the galaxy. [Square Enix]",71,tbd,"Space Bust-A-Move is a puzzle video game developed by Lancarse and published by Taito in Japan, and Square Enix worldwide for the Nintendo DS. It was first released in Japan under the title Space Puzzle Bobble (スペース パズルボブル, Supēsu Pazuru Boburu) on December 18, 2008. It was later released in North America under the title Space Bust-A-Move on July 28, 2009, and in Europe under the title Puzzle Bobble Galaxy on August 28, 2009. As with Arkanoid DS, Space Invaders Extreme and Space Invaders Extreme 2, the game is compatible with Taito's paddle controller.",Puzzle,"['Single-player', 'multiplayer']"
23,Earth Defense Force 2017,Xbox 360,2007-03-20,"(Also known as ""Earth Defense Force X"" and ""Earth Defense Forces 3"" [JPN] ) This arcade-style third-person shooter equips players with an extensive arsenal of diverse weapons, pilotable vehicles and loyal teammates in order to defeat a wide variety of attackers ranging from gigantic ants and spiders to robots and monsters standing more than 20 stories tall. Earth Defense Force 2017 lands players on the front lines of an onslaught of extraterrestrial invaders, with non-stop swarms of hundreds of enemies on screen at once. Gamers aren’t alone. Not only do they have more than 150 weapon variations to choose from - including assault rifles, rocket launchers and flamethrowers - but they have the support of AI-controlled Earth Defense Force teammates who battle beside them throughout the game. Players can also join forces with live teammates in co-op mode and battle together. Fighting within a wholly destructible environment where bridges, skyscrapers and other structures can just as easily be destroyed by friend or foe, players can either save their world or demolish it in the process. With more than 50 missions to complete and a seemingly endless barrage of attackers, the Earth Defense Force has their work cut out for them. [D3 Publisher of America]",69,7.6,"Earth Defense Force 2017 is a third-person shooter developed by Sandlot, and published by D3 Publisher, for the Xbox 360. It is the follow-up to Global Defence Force, and is the first game in the Earth Defense Force series (as well as the first game based on D3's Simple series of budget games) to be released in North America. Earth Defense Force 3 was the best selling Games on Demand game in Japan for 2009. The game was released on the PlayStation Vita in Japan on 27 September 2012. It was released digital-only in North America on January 8, 2013 and in the PAL region on January 16, 2013. A port of the game was released for the Nintendo Switch in Japan on October 14, 2021.",Third-person shooter,"['Single-player', 'multiplayer']"
24,Brutal Legend,PlayStation 3,2009-10-13,"Brütal Legend is an epic action game from visionary developer Tim Schafer. Jack Black stars as Eddie Riggs, a legendary roadie summoned to a world of Heavy Metal where mountains are made of amplifiers, killer spiders spin guitar strings and Rock Legends roam the landscape. As Eddie, crush skulls with a battle axe, ravage the road in a super-charged Hot Rod and unleash the power of Rock to reign down fire from the sky - all to save humanity and become a Brütal Legend. [Electronic Arts]",83,7.7,"Brütal Legend is an action-adventure video game with real-time strategy game elements created by Double Fine and published by Electronic Arts for the PlayStation 3 and Xbox 360. The game was released during October 2009 in North America, Europe, and Australia. Though Brütal Legend was originally to be published by Vivendi Games prior to its merger with Activision, Activision dropped the game from its portfolio after the merger. It was later picked up by Electronic Arts, though Activision and Double Fine brought counter-lawsuits against each other over publishing issues. The issues were settled out of court. Later, Double Fine announced a port of the game for Microsoft Windows via Steam, which was released in February 2013. Mac OS X and Linux versions of the game were made available as part of the Humble Bundle in May 2013. A physical collector's edition for Windows, Mac OS X, and Linux was released by IndieBox in October 2014.
Tim Schafer, the game's creative director, was inspired to create the game by his own past musical experiences. The game features the character of Eddie Riggs, voiced by and modeled after Jack Black, a roadie who is transported to a fantasy world inspired by the artwork of heavy metal album covers. Eddie becomes the world's savior, leading the down-trodden humans against a range of supernatural overlords using a battle axe, his Flying V guitar that can tap into the magical powers of the world, and a customizable hot rod.
The game, a hybrid of the action-adventure and real-time strategy genres, includes Stage Battles in both the single-player and multiplayer mode, where the player must command troops to defeat their foes while defending their own stage. In addition to Black, the game features voices of heavy metal musicians including Lemmy Kilmister, Rob Halford, Ozzy Osbourne and Lita Ford and other celebrities such as Tim Curry, as well as more than one hundred metal songs selected by Schafer for inclusion in the game.
Brütal Legend was generally well received by game reviewers, praising Schafer's vision and writing of the heavy metal-inspired world, and the performances of the voice cast, particularly Black and Osbourne. Some felt that the hybrid gameplay of action and real-time strategy games did not mix well, however, blaming console control limitations and missing features normally found in games of either genre.",Action-adventure,"['Single-player', 'multiplayer']"
